Var dag har nog av sin egen plåga.,Sufficient untill the day is the evil thereof.,
Var sak har sin tid.,Everythings in its season.,
Var fågel sjunger efter sin egen näbb.,"Different strokes, suit different folks.",
Var skall sleven vara om inte i grytan?,Let him that is cold blow the coals.,
Var smed har sin sed.,Each smith has his custom.,Each household has its own customs.
Varav hjärtat är fullt talar munnen.,The tongue ever turns to the aching tooth; What the heart thinketh the tongue speaketh.,
Varje moln har en silverkant.,Every cloud has a silver lining.,Bad situations often bring something good with them.
Varnad är väpnad.,Warned is forearmed.,A warned person is prepared.
Verkligheten överträffar dikten.,Fact is stranger than fiction.,Things that happen in real life are often far more unlikely than those dreamed up by writers.
Vill man vara fin får man lida pin.,"No pain, no gain; Nothing ventured, nothing gained.",
"Vis är den som råd lyder, men oråd skall ingen lyda.","Those are wise that heed advice, but no one should heed dissuasive advice.","Advice often contain a genuine warning or an effective suggestion, which is unprudent not to take into consideration."
Visdomen har långa öron och kort tunga.,Nature gave us two ears and one mouth.,
Väck inte den björn som sover.,Let sleeping dogs lie.,Do not cause trouble by disturbing a stable—but potentially problematic—situation.
"Vännens örfil är ärligt menad, fiendens kyssar vill bedra.",A friend’s frown is better than a foe’s smile.,
Vägen till helvetet är kantad med goda föresatser.,The road to hell is paved with good intentions.,
Vägen till mannens hjärta går genom magen.,The way to a man’s heart is through his stomach.,The best way to please a man is by feeding him well.
Väggarna har öron.,The walls have ears.,Someone you are talking about will often overhear your conversation.
Världen är liten.,It’s a small world.,"It is amazing how often you meet somebody you know—or somebody who knows one of your friends or relatives, comes from your home town, or went to your school—in a distant or unexpected place; said when such a coincidence occurs."
