Alla goda ting är tre.,All good things are three.,
"Alla känner apan, men apan känner ingen.","Everyone knows the monkey, but the monkey knows no one.",Those that stick out are often both well-known and avoided.
Alla sätt är bra utom de dåliga.,All methods are good except for the bad ones.,
Alla vägar bär till Rom.,All roads lead to Rome.,There are many different routes to the same goal.
Alla är vi barn i början.,We all start out as children.,Mistakes should be expected of beginners.
"Alla vill vara herrar, men ingen vill bära säcken.",There are too many chiefs and not enough Indians.,"Too many people want to be the leader, and not enough people are willing to follow to do the detail work."
Allt är inte guld som glimmar.,All that glitters is not gold.,
Anfall är bästa försvar.,The best defense is a good offense.,"If you attack your opponents, they will be so busy fighting off your attack that they will not be able to attack you."
Arga katter får rivet skinn.,Quarrelsome dogs come limping home.,
Att skiljas är att dö en smula.,To separate is to die a little.,
Att försvara ett fel är att fela igen.,"To defend a wrong, is to wrong do anew.",
"Att våga är att tappa fotfästet en stund, att inte våga är att förlora sig själv.","To dare is to lose your foothold for a moment, to not dare is to lose yourself.",
"Av barn, fyllon och dårar får man höra sanningen.","Children, fools and drunken men tell the truth.",
Av skadan blir man vis.,Injury makes you wise.,You learn from your mistakes.
Avundsjukan vilar aldrig.,Envy takes no holiday.,
Bara döda fiskar följer strömmen.,Only dead fish follow the stream.,Foolish people mindlessly copy others.
"Barn gör som du gör, inte som du säger.","Children do as you do, not as you say.",
Behandla andra som du själv vill bli behandlad.,Do unto others as you would have them do unto you.,
Blod är tjockare än vatten.,Blood is thicker than water.,Family relationships remain strong across great distances.
Blott Sverige svenska krusbär har.,Only Sweden has Swedish gooseberries.,Sweden is a unique country.
Borsta framför din egen dörr först.,Sweep your own doorstep clean.,
Borta bra men hemma bäst.,Away is good but home is best.,
Bra karl reder sig själv.,Every bird must hatch its own eggs.,Avoid being dependent on others.
Bränt barn skyr elden.,"Once bitten, twice shy.",
Bättre brödlös än rådlös.,Better short of pence than short of sense.,
Bättre dåligt minne än dåliga minnen.,Poor memory is better than bad memories.,Don’t dwell on past mistakes and bad experiences.
