Nya kvastar sopar bäst.,A new broom sweeps clean.,We should never use an old tool when the extra labor in consequence costs more than a new one. Thousands wear out their lives and waste their time merely by the use of dull and unsuitable instruments.
Någon måtta får det vara.,There must be some moderation.,
När det regnar manna från himlen har den fattige ingen sked.,"When it rains manna from heaven, the poor one does not have a spoon.",
"När det regnar på prästen, så droppar det på klockaren.","When it rains on the priest, it dripples on the sacristan.","When someone is successful, his subordinates are a little better off as well."
När fan blir gammal blir han religiös.,When the devil grows old he turns religious.,People often become more religious as they get closer to death. Also used metaphorically when people appear to change in self-serving ways.
"När Gud kommer med döden, kommer fan med arvingarna.","When God brings death, the devil brings heirs.",
När man talar om trollen så står de i farstun och lyssnar.,Speak of the devil...,
"När musen är mätt, smakar mjölet beskt.","When the mouse is full, the flour tastes bitter.","When you finally got something, you don’t appreciate it anymore."
När nöden är som störst är hjälpen som närmast.,"When distress is the greatest, help is the nearest.",
När katten är borta dansar råttorna på bordet.,"When the cat’s away, the mice will play.",In the absence of the person in authority those under his control will often neglect the duties/rules imposed on them.
Nära skjuter ingen hare.,Close but no cigar.,
Nöden har ingen lag.,Necessity has no law.,It is acceptable to break rules in times of need.
Nöden är uppfinningarnas moder.,Necessity is the mother of invention.,
