I de blindas rike är den enögde kung.,"Among the blind, the one-eyed is king.",
I de lugnaste vattnen går de fulaste fiskarna.,An honest look covereth many faults.,An innocent demeanor may hide much guilt.
I krig och kärlek är allt tillåtet.,All is fair in love and war.,
I mörker är alla katter grå.,In the dark all cats are gray.,
I nöden prövas vännen.,A friend in need is a friend indeed.,
I vinet kommer sanningen fram.,In wine there is truth.,Alcohol consumed removes the inhibition against telling the truth that occasionally one would like to keep secret.
I öknen är sanden billig.,Beggars can’t be choosers.,Supply and demand rules.
Ibland kan man inte se skogen på grund av alla träd.,He is missing the forest because of the trees.,
Idel solsken gör öken.,"Too much of one thing, good for nothing",You can have too much of something good.
Inga nyheter är goda nyheter.,No news is good news.,
Inga träd växer till himmelen.,All that is fair must fade.,
Ingen rök utan eld.,Every why has its wherefore.,
Ingen är oumbärlig.,No one is indispensable.,
Ingen är profet i sitt eget land/i sin egen hemstad.,A prophet is not honoured in his own country.,"An outstanding person is often less respected at home than elsewhere. This may be due to personal reasons unrelated to his achievments, or the result of being in an indifferent/ignorant/hostile community."
Ingenting är nytt under solen.,Nothing is new under the sun.,Someone has always done the same thing earlier.
Inget kalas utan kras.,No party without shattering.,
Inget ont som inte har något gott med sig.,No cloud without a silver lining.,
Inget är så bra att det inte kan göras bättre.,Nothing is so good that it can’t be made better.,
